gene10007	LOC105883949
gene10032	LOC105877095
gene10045	LOC105877079
gene10052	LOC105877072
gene10053	LOC109730950
gene10064	LOC105877110
gene10067	LOC109730951
gene1006	LOC109730994
gene10098	LOC105867608
gene1009	LOC105883672
gene10103	LOC105860667
gene10108	LOC105860664
gene10112	LOC105858008
gene10125	LOC105868670
gene10136	LOC109730911
gene10145	LOC109730956
gene10146	LOC105863365
gene10156	LOC105863353
gene10157	LOC105863357
gene10173	LOC105856878
gene10184	LOC105884618
gene10185	LOC105884617
gene10200	LOC105884633
gene10215	LOC105884622
gene10219	LOC105862175
gene10225	LOC105862184
gene10236	LOC105861592
gene10246	LOC105861850
gene10255	LOC105861864
gene10259	LOC105861849
gene10264	LOC105861847
gene10289	LOC105864751
gene10295	LOC105865890
gene1029	LOC109730958
gene10311	LOC109730921
gene10354	LOC109730864
gene10408	LOC105871450
gene10411	LOC105871444
gene10413	LOC105871439
gene10431	LOC105871436
gene10432	LOC105870208
gene10437	LOC105870215
gene10442	LOC109730923
gene10451	LOC105869997
gene10487	LOC105871388
gene10494	LOC105871536
gene10501	LOC105869512
gene10504	LOC105869488
gene10528	LOC105871517
gene10529	LOC105871511
gene1054	LOC105883885
gene10566	LOC105871336
gene10577	LOC105861923
gene10579	LOC105871509
gene1057	LOC105883887
gene10581	LOC109730925
gene10584	LOC105871296
gene10588	LOC105860878
gene1058	LOC105883889
gene10590	LOC105871327
gene10595	LOC109730926
gene10596	LOC105878019
gene10602	LOC105877963
gene1063	LOC105878053
gene10648	LOC105878021
gene1064	LOC105878063
gene10651	LOC105878022
gene10653	LOC105878023
gene10655	LOC105878025
gene10658	LOC105878028
gene1065	LOC105878061
gene10660	LOC109730872
gene10671	LOC105880935
gene10696	LOC105880936
gene10700	LOC109730927
gene10710	LOC105880994
gene10712	LOC109730874
gene10726	LOC105865622
gene10728	LOC109730878
gene10734	LOC105865575
gene10736	LOC105865562
gene1073	LOC105878041
gene10740	LOC105865747
gene10773	LOC109730916
gene10783	LOC105864912
gene10798	LOC105865930
gene10804	LOC105884800
gene10805	LOC105884813
gene10808	LOC105884876
gene10812	LOC109730884
gene10815	LOC105884792
gene10816	LOC105884802
gene10820	LOC109730917
gene10844	LOC109730888
gene10851	LOC105882800
gene10856	LOC105882793
gene10867	LOC105882811
gene10871	LOC109730918
gene10877	LOC105882791
gene10882	LOC105882825
gene1088	LOC105878046
gene10899	LOC105877398
gene1089	LOC105878045
gene10901	LOC105865278
gene10913	LOC105865275
gene10918	LOC105865283
gene10922	LOC105876707
gene10927	LOC105876708
gene10931	LOC105876713
gene10932	LOC105876710
gene10941	LOC105876700
gene10946	LOC109730892
gene10951	LOC105863864
gene10960	LOC105862748
